id,name,date,count,totalCount,onboardedCount,startingDate
1,Altre Pubbliche Amministrazioni locali,2023-10-07T00:00:00.000Z,65,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-12T00:00:00.000Z,67,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-17T00:00:00.000Z,68,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-22T00:00:00.000Z,69,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-10-27T00:00:00.000Z,69,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-01T00:00:00.000Z,71,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-06T00:00:00.000Z,71,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-11T00:00:00.000Z,71,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-16T00:00:00.000Z,73,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-21T00:00:00.000Z,73,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-11-26T00:00:00.000Z,74,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-01T00:00:00.000Z,77,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-06T00:00:00.000Z,77,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-11T00:00:00.000Z,77,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-16T00:00:00.000Z,78,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-21T00:00:00.000Z,78,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-26T00:00:00.000Z,78,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2023-12-31T00:00:00.000Z,81,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-05T00:00:00.000Z,84,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-10T00:00:00.000Z,90,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-15T00:00:00.000Z,90,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-20T00:00:00.000Z,95,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-25T00:00:00.000Z,96,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-01-30T00:00:00.000Z,96,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-04T00:00:00.000Z,97,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-09T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-14T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-19T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-24T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-02-29T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-05T00:00:00.000Z,98,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-10T00:00:00.000Z,100,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-15T00:00:00.000Z,100,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-20T00:00:00.000Z,102,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-25T00:00:00.000Z,102,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-03-30T00:00:00.000Z,102,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-04-04T00:00:00.000Z,103,4201,103,2023-10-09T00:00:00.000Z
1,Altre Pubbliche Amministrazioni locali,2024-04-09T00:00:00.000Z,103,4201,103,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-07T00:00:00.000Z,11,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-12T00:00:00.000Z,11,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-17T00:00:00.000Z,12,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-22T00:00:00.000Z,13,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-10-27T00:00:00.000Z,16,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-01T00:00:00.000Z,17,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-06T00:00:00.000Z,17,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-11T00:00:00.000Z,17,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-16T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-21T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-11-26T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-01T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-06T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-11T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-16T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-21T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-26T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2023-12-31T00:00:00.000Z,18,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-05T00:00:00.000Z,19,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-10T00:00:00.000Z,20,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-15T00:00:00.000Z,20,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-20T00:00:00.000Z,21,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-25T00:00:00.000Z,21,245,25,2023-10-09T00:00:00.000Z
2,Aziende Ospedaliere e ASL,2024-01-30T00:00:00.000Z,22,245,25,2023-10-09T00:00:00.000Z
