date,count
2022-07-25,1
2022-08-25,11
2022-09-25,34
2022-10-25,229
2022-11-25,39
2022-12-25,226
2023-01-25,627
2023-02-25,320
2023-03-25,290
2023-04-25,253
2023-05-25,359
2023-06-25,485418
2023-07-25,1081241
2023-08-25,3067410
2023-09-25,6140726
2023-10-25,9895361
2023-11-25,16348601
2023-12-25,18719941
2024-01-25,23178460
2024-02-25,23251266
2024-03-25,27793547
2024-04-25,20910924
2024-05-25,19772317
2024-06-25,17596841
2024-07-25,17095471
2024-08-25,18408563
2024-09-25,27207735
2024-10-25,25751204
2024-11-25,37675824
2024-12-25,57410510
2025-01-25,48371543
2025-02-25,49275422
2025-03-25,45370998
2025-04-25,41040756
2025-05-25,39790149
2025-06-25,41769426
2025-07-25,42987360
2025-08-25,40373180
