date,count
2025-09-20,12645765
2025-09-27,14765834
2025-10-04,13012269
2025-10-11,13453972
2025-10-18,14140394
2025-10-25,12602314
2025-11-01,14781119
2025-11-08,14452941
2025-11-15,15309585
2025-11-22,15224468
2025-11-29,17493588
2025-12-06,18499633
2025-12-13,17382725
2025-12-20,18731087
2025-12-27,16784669
2026-01-03,15448763
2026-01-10,19513282
2026-01-17,22813936
2026-01-24,19768009
2026-01-31,20529819
2026-02-07,19453245
2026-02-14,18955761
2026-02-21,18942948
2026-02-28,18792539
2026-03-07,19689029
2026-03-14,20811257
