date,count
2023-08-02,502753
2023-08-12,1072049
2023-08-22,900349
2023-09-01,1934247
2023-09-11,2302777
2023-09-21,1284611
2023-10-01,3149461
2023-10-11,2564703
2023-10-21,3714941
2023-10-31,4312706
2023-11-10,5138011
2023-11-20,5540676
2023-11-30,5886583
2023-12-10,7128740
2023-12-20,5398943
2023-12-30,6452284
2024-01-09,6379209
2024-01-19,9123644
2024-01-29,7080583
2024-02-08,7186385
2024-02-18,7735340
2024-02-28,8680602
2024-03-09,9978934
2024-03-19,9649160
2024-03-29,8069679
2024-04-08,5869369
2024-04-18,7627217
2024-04-28,6249159
2024-05-08,7466665
2024-05-18,6622522
2024-05-28,5463736
2024-06-07,5769458
2024-06-17,5266929
2024-06-27,6446813
2024-07-07,5287723
2024-07-17,5755760
2024-07-27,5636923
