id,name,producerName,id,name,subscribersCount,macroCategories,data
0,Totale,PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,1,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,3,Comuni,2480,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2480}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2480}}"
0,Totale,PagoPa S.p.A.,4,Province e Città Metropolitane,1,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}}"
0,Totale,PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,5,"{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":5}","{""producerName"":""PagoPa S.p.A."",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":5}}"
0,Totale,Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,10,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":10}}"
0,Totale,Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,5,"{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":5}}"
0,Totale,Agenzia per L'Italia Digitale,3,Comuni,159,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":159}}"
0,Totale,Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,11,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":11}}"
0,Totale,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}","{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
