id,name,eserviceName,producerName,subscribersCount
0,Tutte,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,2904
0,Tutte,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,172
0,Tutte,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,78
0,Tutte,C019-servizioAccertamentoEsistenzaVita-approvazione_automati,Ministero dell'Interno,42
0,Tutte,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,38
0,Tutte,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,36
0,Tutte,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,30
0,Tutte,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,30
0,Tutte,arch-common-service_SDG,Agenzia per L'Italia Digitale,30
0,Tutte,PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,30
1,Altre Pubbliche Amministrazioni locali,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,8
1,Altre Pubbliche Amministrazioni locali,arch-common-service_SDG,Agenzia per L'Italia Digitale,6
1,Altre Pubbliche Amministrazioni locali,service-catalogue_SDG,Agenzia per L'Italia Digitale,5
1,Altre Pubbliche Amministrazioni locali,evidence-broker_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,4
1,Altre Pubbliche Amministrazioni locali,data-service-directory_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,3
1,Altre Pubbliche Amministrazioni locali,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,3
1,Altre Pubbliche Amministrazioni locali,PCP - Pianificazione appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,2
1,Altre Pubbliche Amministrazioni locali,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,2
2,Aziende Ospedaliere e ASL,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
2,Aziende Ospedaliere e ASL,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,1
2,Aziende Ospedaliere e ASL,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
2,Aziende Ospedaliere e ASL,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - FVA,Autorita' Nazionale Anticorruzione - A.N.AC.,1
3,Comuni,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,2894
3,Comuni,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,140
3,Comuni,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,77
3,Comuni,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,36
3,Comuni,C015-servizioAccertamentoGeneralita-approvazione_automatica,Ministero dell'Interno,25
3,Comuni,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,25
