id,name,count,producerName
0,Totale,43.0,Regione Piemonte
0,Totale,47.0,Regione Autonoma Friuli-Venezia Giulia
0,Totale,53.0,Agenzia per L'Italia Digitale
0,Totale,57.0,Regione Liguria
0,Totale,58.0,Regione Lombardia
0,Totale,67.0,Ministero delle infrastrutture e dei trasporti
0,Totale,68.0,Ministero dell'Interno
0,Totale,79.0,Regione Lazio
0,Totale,107.0,Ministero del Lavoro e delle Politiche Sociali
0,Totale,176.0,Istituto Nazionale Previdenza Sociale - INPS
1,Altre Pubbliche Amministrazioni locali,1.0,Azienda Speciale per I Servizi Sociali del Comune di Montesilvano
1,Altre Pubbliche Amministrazioni locali,1.0,Intercent-er Agenzia Regionale per Lo Sviluppo Dei Mercati Telematici
1,Altre Pubbliche Amministrazioni locali,1.0,Consorzio Intercomunale Dei Servizi Ed Interventi Sociali Valle del Tevere
1,Altre Pubbliche Amministrazioni locali,1.0,Agenzia Regionale per Le Politiche Attive del Lavoro - Arpal Umbria
1,Altre Pubbliche Amministrazioni locali,2.0,Comunita' Montana Castelli Romani - Prenestini
1,Altre Pubbliche Amministrazioni locali,3.0,Unione Dei Comuni Delle Terre del Sole
1,Altre Pubbliche Amministrazioni locali,4.0,Comunita' Montana dei Laghi Bergamaschi
1,Altre Pubbliche Amministrazioni locali,5.0,Unione della Romagna Faentina
1,Altre Pubbliche Amministrazioni locali,9.0,Autorita' di Sistema Portuale del Mare Adriatico Meridionale
1,Altre Pubbliche Amministrazioni locali,21.0,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Friuli Occidentale
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Locale BT di Andria
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Universitaria Giuliano Isontina
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Provinciale di Vibo Valentia
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Universitaria Friuli Centrale
2,Aziende sanitarie locali e Strutture di ricovero,3.0,Azienda Socio Sanitaria Territoriale di Mantova
2,Aziende sanitarie locali e Strutture di ricovero,5.0,A.O.U. San Luigi Gonzaga
3,Comuni,10.0,Comune di Afragola
3,Comuni,11.0,Comune di Ancona
3,Comuni,11.0,Comune di Giugliano In Campania
3,Comuni,11.0,Comune di Gallarate
3,Comuni,12.0,Comune di Benevento
3,Comuni,12.0,Comune di Genova
3,Comuni,13.0,ROMA CAPITALE
3,Comuni,13.0,Comune di Torino
3,Comuni,14.0,Comune di Savona
3,Comuni,14.0,Comune di Brescia
4,Enti Nazionali di Previdenza ed Assistenza Sociale,4.0,Istituto Nazionale per l'Assicurazione contro gli Infortuni sul Lavoro - INAIL
