id,name,count,producerName
0,Totale,31.0,Regione Campania
0,Totale,31.0,Regione Toscana
0,Totale,32.0,Regione Autonoma Valle D'Aosta
0,Totale,33.0,Regione del Veneto
0,Totale,34.0,Regione Molise
0,Totale,37.0,Regione Puglia
0,Totale,38.0,Regione Piemonte
0,Totale,40.0,Regione Autonoma Friuli-Venezia Giulia
0,Totale,57.0,Regione Lombardia
0,Totale,68.0,Ministero del Lavoro e delle Politiche Sociali
1,Altre Pubbliche Amministrazioni locali,1.0,Autorita' di Sistema Portuale del Mar Tirreno Settentrionale
1,Altre Pubbliche Amministrazioni locali,1.0,Itaca- Istituto per L'Innovazione e Trasparenza Degli Appalti e La Compatibilita Ambientale
1,Altre Pubbliche Amministrazioni locali,1.0,"Unione dei Comuni Valli del Reno, Lavino e Samoggia"
1,Altre Pubbliche Amministrazioni locali,1.0,Azienda Speciale per I Servizi Sociali del Comune di Montesilvano
1,Altre Pubbliche Amministrazioni locali,2.0,Comunita' Montana Castelli Romani - Prenestini
1,Altre Pubbliche Amministrazioni locali,3.0,Unione Dei Comuni Delle Terre del Sole
1,Altre Pubbliche Amministrazioni locali,3.0,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"
1,Altre Pubbliche Amministrazioni locali,5.0,Unione della Romagna Faentina
2,Aziende sanitarie locali e Strutture di ricovero,2.0,Azienda Sanitaria Provinciale di Vibo Valentia
2,Aziende sanitarie locali e Strutture di ricovero,5.0,A.O.U. San Luigi Gonzaga
3,Comuni,6.0,Comune di Pavia
3,Comuni,6.0,Comune di Rimini
3,Comuni,6.0,Comune di Montesilvano
3,Comuni,6.0,Comune di Calvanico
3,Comuni,6.0,Comune di Moncalieri
3,Comuni,6.0,Comune di Casoria
3,Comuni,7.0,Comune di Palermo
3,Comuni,8.0,Comune di Carinaro
3,Comuni,8.0,Comune di Faenza
3,Comuni,14.0,Comune di Savona
4,Enti Nazionali di Previdenza ed Assistenza Sociale,2.0,Istituto Nazionale per l'Assicurazione contro gli Infortuni sul Lavoro - INAIL
4,Enti Nazionali di Previdenza ed Assistenza Sociale,28.0,Istituto Nazionale Previdenza Sociale - INPS
5,Province e Città Metropolitane,1.0,Provincia di Padova
5,Province e Città Metropolitane,1.0,Citta' Metropolitana di Genova
6,Altre Pubbliche Amministrazioni Centrali,3.0,Ispettorato Nazionale del Lavoro
6,Altre Pubbliche Amministrazioni Centrali,4.0,Federazione Nazionale degli Ordini dei Medici Chirurghi e degli Odontoiatri
6,Altre Pubbliche Amministrazioni Centrali,5.0,Agenzia per le Erogazioni in Agricoltura - AGEA
6,Altre Pubbliche Amministrazioni Centrali,5.0,Istituto Superiore per la Protezione e la Ricerca Ambientale
7,Regioni e Province Autonome,30.0,Regione Emilia-Romagna
7,Regioni e Province Autonome,31.0,Regione Campania
7,Regioni e Province Autonome,31.0,Regione Toscana
7,Regioni e Province Autonome,32.0,Regione Autonoma Valle D'Aosta
7,Regioni e Province Autonome,33.0,Regione del Veneto
7,Regioni e Province Autonome,34.0,Regione Molise
7,Regioni e Province Autonome,37.0,Regione Puglia
7,Regioni e Province Autonome,38.0,Regione Piemonte
7,Regioni e Province Autonome,40.0,Regione Autonoma Friuli-Venezia Giulia
7,Regioni e Province Autonome,57.0,Regione Lombardia
8,Scuole,,
9,Stazioni Appaltanti e Gestori di pubblici servizi,1.0,MEDIO CHIAMPO SPA
9,Stazioni Appaltanti e Gestori di pubblici servizi,2.0,Istituto Poligrafico e Zecca dello Stato S.P.A.
9,Stazioni Appaltanti e Gestori di pubblici servizi,11.0,Molise Dati Societa' Informatica Molisana Spa
10,Università e AFAM,8.0,Universita' degli Studi del Sannio
10,Università e AFAM,9.0,Universita' degli Studi di Firenze
10,Università e AFAM,9.0,Accademia di Belle Arti di Frosinone
10,Università e AFAM,9.0,Universita Degli Studi di Genova
10,Università e AFAM,9.0,Conservatorio di Cagliari
10,Università e AFAM,9.0,Universita' degli Studi di Milano - Bicocca
10,Università e AFAM,9.0,Conservatorio Statale di Musica Guido Cantelli
10,Università e AFAM,9.0,Accademia di Belle Arti di Catanzaro
10,Università e AFAM,10.0,Conservatorio di Musica Giuseppe Verdi di Milano
10,Università e AFAM,12.0,Alma Mater Studiorum - Universita' di Bologna
11,Enti privati,,
12,Pubbliche Amministrazioni Centrali,1.0,Autorita Garante della Concorrenza e del Mercato
12,Pubbliche Amministrazioni Centrali,1.0,Agenzia delle Dogane e dei Monopoli
12,Pubbliche Amministrazioni Centrali,1.0,Ministero dell'Interno
12,Pubbliche Amministrazioni Centrali,2.0,Ministero dell'istruzione e del merito
12,Pubbliche Amministrazioni Centrali,2.0,Istituto centrale per la digitalizzazione del patrimonio culturale - Digital Library - Ministero della Cultura
12,Pubbliche Amministrazioni Centrali,3.0,Ministero delle infrastrutture e dei trasporti
12,Pubbliche Amministrazioni Centrali,8.0,Autorita' Nazionale Anticorruzione - A.N.AC.
12,Pubbliche Amministrazioni Centrali,18.0,Agenzia delle Entrate
12,Pubbliche Amministrazioni Centrali,24.0,Dipartimento della Funzione Pubblica
12,Pubbliche Amministrazioni Centrali,68.0,Ministero del Lavoro e delle Politiche Sociali
