producerName,id,name,subscribersCount
PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,3
PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1
PagoPa S.p.A.,3,Comuni,2814
PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,6
Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,13
Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,7
Agenzia per L'Italia Digitale,3,Comuni,127
Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,8
Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8
Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Agenzia per L'Italia Digitale,7,Regioni e Province Autonome,13
Agenzia per L'Italia Digitale,8,Consorzi e associazioni regionali,13
Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,7
Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,5
Ministero dell'Interno,2,Aziende Ospedaliere e ASL,1
Ministero dell'Interno,3,Comuni,101
Ministero dell'Interno,4,Province e Città Metropolitane,2
Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,2
Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Ministero dell'Interno,7,Regioni e Province Autonome,4
Ministero dell'Interno,8,Consorzi e associazioni regionali,4
Ministero dell'Interno,9,Scuole,1
Ministero dell'Interno,10,Università e AFAM,1
Ministero dell'Interno,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
Istituto Nazionale Previdenza Sociale - INPS,1,Altre Pubbliche Amministrazioni locali,1
Istituto Nazionale Previdenza Sociale - INPS,3,Comuni,13
Istituto Nazionale Previdenza Sociale - INPS,7,Regioni e Province Autonome,2
Istituto Nazionale Previdenza Sociale - INPS,8,Consorzi e associazioni regionali,2
Istituto Nazionale Previdenza Sociale - INPS,10,Università e AFAM,2
Autorita' Nazionale Anticorruzione - A.N.AC.,1,Altre Pubbliche Amministrazioni locali,3
Autorita' Nazionale Anticorruzione - A.N.AC.,2,Aziende Ospedaliere e ASL,1
Autorita' Nazionale Anticorruzione - A.N.AC.,3,Comuni,2
Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,1
Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2
Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province Autonome,2
Autorita' Nazionale Anticorruzione - A.N.AC.,8,Consorzi e associazioni regionali,2
Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,5
Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,2
Agenzia delle Entrate,3,Comuni,1
Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,2
Agenzia delle Entrate,7,Regioni e Province Autonome,3
Agenzia delle Entrate,8,Consorzi e associazioni regionali,3
Agenzia delle Entrate,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,2
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",5,Pubbliche Amministrazioni Centrali,2
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Consiglio Nazionale Forense,1,Altre Pubbliche Amministrazioni locali,1
Consiglio Nazionale Forense,5,Pubbliche Amministrazioni Centrali,1
GEROPA SRL,3,Comuni,1
GEROPA SRL,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
Comune di Gattinara,3,Comuni,2
