id,name,eserviceName,producerName,subscribersCount
0,Tutte,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,2701
0,Tutte,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,151
0,Tutte,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,67
0,Tutte,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,36
0,Tutte,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,28
0,Tutte,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,28
0,Tutte,arch-common-service_SDG,Agenzia per L'Italia Digitale,26
0,Tutte,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,25
0,Tutte,C015-servizioAccertamentoGeneralita-approvazione_automatica,Ministero dell'Interno,25
0,Tutte,C021-servizioAccertamentoStatoFamiglia-approvazione_automati,Ministero dell'Interno,21
1,Altre Pubbliche Amministrazioni locali,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,8
1,Altre Pubbliche Amministrazioni locali,arch-common-service_SDG,Agenzia per L'Italia Digitale,5
1,Altre Pubbliche Amministrazioni locali,evidence-broker_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,data-service-directory_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,service-catalogue_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,3
1,Altre Pubbliche Amministrazioni locali,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,3
1,Altre Pubbliche Amministrazioni locali,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,2
1,Altre Pubbliche Amministrazioni locali,C006-servizioVerificaDichCittadinanza-approvazione_automatic,Ministero dell'Interno,2
1,Altre Pubbliche Amministrazioni locali,C004-servizioVerificaDichDecesso-approvazione_automatica,Ministero dell'Interno,2
2,Aziende Ospedaliere e ASL,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
2,Aziende Ospedaliere e ASL,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,1
2,Aziende Ospedaliere e ASL,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
2,Aziende Ospedaliere e ASL,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
2,Aziende Ospedaliere e ASL,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
2,Aziende Ospedaliere e ASL,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
2,Aziende Ospedaliere e ASL,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
2,Aziende Ospedaliere e ASL,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
2,Aziende Ospedaliere e ASL,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,0
2,Aziende Ospedaliere e ASL,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
3,Comuni,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,2692
3,Comuni,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,116
3,Comuni,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,66
3,Comuni,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,36
3,Comuni,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,25
3,Comuni,C015-servizioAccertamentoGeneralita-approvazione_automatica,Ministero dell'Interno,25
3,Comuni,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,23
3,Comuni,C021-servizioAccertamentoStatoFamiglia-approvazione_automati,Ministero dell'Interno,21
3,Comuni,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,18
3,Comuni,C018-servizioAccertamentoCittadinanza-approvazione_automatic,Ministero dell'Interno,18
4,Province e Città Metropolitane,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
4,Province e Città Metropolitane,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
4,Province e Città Metropolitane,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
4,Province e Città Metropolitane,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,0
4,Province e Città Metropolitane,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
4,Province e Città Metropolitane,C007–ServizioVerificaDichEsistenzaVita-approvazione_automati,Ministero dell'Interno,0
