id,name,eserviceName,producerName,subscribersCount
0,Tutte,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,3020
0,Tutte,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,192
0,Tutte,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,83
0,Tutte,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,42
0,Tutte,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,30
0,Tutte,C021-servizioAccertamentoStatoFamiglia-approvazione_automati,Ministero dell'Interno,30
0,Tutte,C015-servizioAccertamentoGeneralita-approvazione_automatica,Ministero dell'Interno,30
0,Tutte,arch-common-service_SDG,Agenzia per L'Italia Digitale,29
0,Tutte,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,29
0,Tutte,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,29
1,Altre Pubbliche Amministrazioni locali,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,9
1,Altre Pubbliche Amministrazioni locali,arch-common-service_SDG,Agenzia per L'Italia Digitale,5
1,Altre Pubbliche Amministrazioni locali,service-catalogue_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,evidence-broker_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,4
1,Altre Pubbliche Amministrazioni locali,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,4
1,Altre Pubbliche Amministrazioni locali,data-service-directory_SDG,Agenzia per L'Italia Digitale,4
1,Altre Pubbliche Amministrazioni locali,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,3
1,Altre Pubbliche Amministrazioni locali,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,2
1,Altre Pubbliche Amministrazioni locali,C006-servizioVerificaDichCittadinanza-approvazione_automatic,Ministero dell'Interno,2
2,Aziende Ospedaliere e ASL,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,7
2,Aziende Ospedaliere e ASL,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,1
2,Aziende Ospedaliere e ASL,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
2,Aziende Ospedaliere e ASL,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - FVA,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,1
2,Aziende Ospedaliere e ASL,PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,1
3,Comuni,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,3010
3,Comuni,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,153
3,Comuni,C020-servizioAccertamentoResidenza-approvazione_automatica,Ministero dell'Interno,82
3,Comuni,C001–servizioNotifica-approvazione_automatica,Ministero dell'Interno,42
3,Comuni,C015-servizioAccertamentoGeneralita-approvazione_automatica,Ministero dell'Interno,30
3,Comuni,C021-servizioAccertamentoStatoFamiglia-approvazione_automati,Ministero dell'Interno,29
3,Comuni,C002-servizioComunicazione-approvazione_automatica,Ministero dell'Interno,29
3,Comuni,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,24
3,Comuni,C018-servizioAccertamentoCittadinanza-approvazione_automatic,Ministero dell'Interno,22
3,Comuni,C016-servizioAccertamentoDichDecesso-approvazione_automatica,Ministero dell'Interno,22
4,Province e Città Metropolitane,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,10
4,Province e Città Metropolitane,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - FVA,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,3
4,Province e Città Metropolitane,PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,3
5,Pubbliche Amministrazioni Centrali,arch-common-service_SDG,Agenzia per L'Italia Digitale,8
5,Pubbliche Amministrazioni Centrali,service-catalogue_SDG,Agenzia per L'Italia Digitale,5
5,Pubbliche Amministrazioni Centrali,evidence-broker_SDG,Agenzia per L'Italia Digitale,5
5,Pubbliche Amministrazioni Centrali,data-service-directory_SDG,Agenzia per L'Italia Digitale,5
5,Pubbliche Amministrazioni Centrali,PreviewSpace_SDG,Agenzia per L'Italia Digitale,3
5,Pubbliche Amministrazioni Centrali,Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2
5,Pubbliche Amministrazioni Centrali,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,1
5,Pubbliche Amministrazioni Centrali,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,1
5,Pubbliche Amministrazioni Centrali,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,1
5,Pubbliche Amministrazioni Centrali,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,service-catalogue_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,evidence-broker_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,arch-common-service_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,data-service-directory_SDG,Agenzia per L'Italia Digitale,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C018-servizioAccertamentoCittadinanza,Ministero dell'Interno,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C019-servizioAccertamentoEsistenzaVita,Ministero dell'Interno,2
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C020-servizioAccertamentoResidenza,Ministero dell'Interno,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C021-servizioAccertamentoStatoFamiglia,Ministero dell'Interno,1
6,Enti Nazionali di Previdenza ed Assistenza Sociale,C015-servizioAccertamentoGeneralita,Ministero dell'Interno,1
7,Regioni e Province Autonome,arch-common-service_SDG,Agenzia per L'Italia Digitale,14
7,Regioni e Province Autonome,service-catalogue_SDG,Agenzia per L'Italia Digitale,5
7,Regioni e Province Autonome,INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,5
7,Regioni e Province Autonome,AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,5
7,Regioni e Province Autonome,PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,4
7,Regioni e Province Autonome,PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,4
7,Regioni e Province Autonome,PCP - FVA,Autorita' Nazionale Anticorruzione - A.N.AC.,4
7,Regioni e Province Autonome,PCP - FVC,Autorita' Nazionale Anticorruzione - A.N.AC.,4
7,Regioni e Province Autonome,PCP – CodeList,Autorita' Nazionale Anticorruzione - A.N.AC.,4
7,Regioni e Province Autonome,PCP - Pianificazione appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,4
8,Consorzi e associazioni regionali,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
8,Consorzi e associazioni regionali,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,Dati storici del cittadino,Comune di Crotta d'Adda,0
8,Consorzi e associazioni regionali,service-catalogue_SDG,Agenzia per L'Italia Digitale,0
8,Consorzi e associazioni regionali,evidence-broker_SDG,Agenzia per L'Italia Digitale,0
8,Consorzi e associazioni regionali,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,0
8,Consorzi e associazioni regionali,POLIZIA MUNICIPALE - Posizioni debitorie aperte,Comune di Porto Torres,0
8,Consorzi e associazioni regionali,C010-servizioVerificaDichStatoLibero-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C023-servizioAccertamentoVedovanza-approvazione_automatica,Ministero dell'Interno,0
8,Consorzi e associazioni regionali,C017-servizioAccertamentoMatrimonio-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,APICIG,Autorita' Nazionale Anticorruzione - A.N.AC.,3
9,Scuole,C008-servizioVerificaDichResidenza-approvazione_automatica,Ministero dell'Interno,1
9,Scuole,C003-servizioVerificaDichGeneralita-approvazione_automatica,Ministero dell'Interno,1
9,Scuole,SEND - Servizio Notifiche Digitali,PagoPa S.p.A.,0
9,Scuole,C025-servizioAccertamentoMaternita-approvazione_automatica,Ministero dell'Interno,0
9,Scuole,Dati storici del cittadino,Comune di Crotta d'Adda,0
