producerName,id,name,subscribersCount
PagoPa S.p.A.,1,Altre Pubbliche Amministrazioni locali,2
PagoPa S.p.A.,2,Aziende Ospedaliere e ASL,1
PagoPa S.p.A.,3,Comuni,3235
PagoPa S.p.A.,12,Stazioni Appaltanti e Gestori di pubblici servizi,6
Agenzia per L'Italia Digitale,1,Altre Pubbliche Amministrazioni locali,13
Agenzia per L'Italia Digitale,2,Aziende Ospedaliere e ASL,8
Agenzia per L'Italia Digitale,3,Comuni,191
Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,12
Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8
Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Agenzia per L'Italia Digitale,7,Regioni e Province autonome,14
Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,9
Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,6
Ministero dell'Interno,2,Aziende Ospedaliere e ASL,1
Ministero dell'Interno,3,Comuni,140
Ministero dell'Interno,4,Province e Città Metropolitane,2
Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,4
Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
Ministero dell'Interno,7,Regioni e Province autonome,4
Ministero dell'Interno,9,Scuole,2
Ministero dell'Interno,10,Università e AFAM,2
Ministero dell'Interno,12,Stazioni Appaltanti e Gestori di pubblici servizi,2
Ministero dell'Interno,13,Privati,49
Autorita' Nazionale Anticorruzione - A.N.AC.,1,Altre Pubbliche Amministrazioni locali,8
Autorita' Nazionale Anticorruzione - A.N.AC.,2,Aziende Ospedaliere e ASL,1
Autorita' Nazionale Anticorruzione - A.N.AC.,3,Comuni,13
Autorita' Nazionale Anticorruzione - A.N.AC.,4,Province e Città Metropolitane,3
Autorita' Nazionale Anticorruzione - A.N.AC.,5,Pubbliche Amministrazioni Centrali,2
Autorita' Nazionale Anticorruzione - A.N.AC.,7,Regioni e Province autonome,9
Autorita' Nazionale Anticorruzione - A.N.AC.,9,Scuole,3
Autorita' Nazionale Anticorruzione - A.N.AC.,12,Stazioni Appaltanti e Gestori di pubblici servizi,8
Autorita' Nazionale Anticorruzione - A.N.AC.,13,Privati,13
Istituto Nazionale Previdenza Sociale - INPS,1,Altre Pubbliche Amministrazioni locali,1
Istituto Nazionale Previdenza Sociale - INPS,3,Comuni,14
Istituto Nazionale Previdenza Sociale - INPS,5,Pubbliche Amministrazioni Centrali,1
Istituto Nazionale Previdenza Sociale - INPS,7,Regioni e Province autonome,2
Istituto Nazionale Previdenza Sociale - INPS,10,Università e AFAM,2
Agenzia delle Entrate,1,Altre Pubbliche Amministrazioni locali,2
Agenzia delle Entrate,3,Comuni,1
Agenzia delle Entrate,5,Pubbliche Amministrazioni Centrali,2
Agenzia delle Entrate,7,Regioni e Province autonome,4
Agenzia delle Entrate,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,3
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",5,Pubbliche Amministrazioni Centrali,2
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",6,Enti Nazionali di Previdenza ed Assistenza Sociale,2
"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",7,Regioni e Province autonome,1
Ministero del Lavoro e delle Politiche Sociali,1,Altre Pubbliche Amministrazioni locali,1
Ministero del Lavoro e delle Politiche Sociali,6,Enti Nazionali di Previdenza ed Assistenza Sociale,1
Ministero del Lavoro e delle Politiche Sociali,7,Regioni e Province autonome,2
GEROPA SRL,3,Comuni,1
GEROPA SRL,12,Stazioni Appaltanti e Gestori di pubblici servizi,1
Comune di Gattinara,3,Comuni,2
