anno_mese,notifiche_analogiche,notifiche_digitali,notifiche_totali
2024-09,745517,181562,927079
2023-08,14,357,371
2024-02,67599,19868,87467
2023-12,761068,119334,880402
2025-04,1073573,235188,1308761
2023-11,92095,17880,109975
2025-01,397786,162818,560604
2025-08,597646,233943,831589
2023-07,3236,2042,5278
2024-08,211343,85294,296637
2023-10,529834,218969,748803
2024-06,1096468,172804,1269272
2023-09,143801,7043,150844
2024-12,2143487,272737,2416224
2024-03,97969,23292,121261
2024-05,321247,57900,379147
2025-06,1129067,289562,1418629
2025-02,540973,182106,723079
2024-11,493345,138042,631387
2024-10,744932,172444,917376
2025-03,868115,233309,1101424
2024-07,1301881,406360,1708241
2025-07,1721823,652058,2373881
2024-04,83857,33199,117056
2025-09,163904,53132,217036
2025-05,787861,244303,1032164
2024-01,59284,17910,77194
